,classifier,tr_precision_avg,tr_recall_avg,tr_f1_avg,te_precision_avg,te_recall_avg,te_f1_avg,Tf_CV_Avg,au_ROC_avg,au_PR_avg,Loo_CV
0,LogR,0.9727852013828354,0.9602087223053597,0.9662256349240982,0.967736424325382,0.9534694202182482,0.9601002370760395,0.9686595809796508,0.9873531936193553,0.9795382126908078,0.9697744710532434
1,gNB,0.8791221937347354,0.6345399139177689,0.6474649201978397,0.8513412169611003,0.6133696926633375,0.6181017075094981,0.7791196578536489,0.9670451867041842,0.9336104944604972,0.7665659149035108
2,SVM,0.977714041146883,0.976033272199127,0.9768647853675917,0.9720641078068722,0.9646726685435515,0.968172493598357,0.9736814190047879,0.9937206597821185,0.9785003222080504,0.9753545687049523
3,DT,0.9975923036897522,0.995356290040366,0.9964655576933575,0.962314218211112,0.9503067118661374,0.9559582913117622,0.9637772780794988,0.9528747353998016,0.9486233598454041,0.965821901883283
4,RF,0.9936476747439337,0.9889411228364987,0.9912554742876322,0.9625764584483952,0.9436480313045076,0.9523105534908507,0.9604311583490245,0.9780430830099993,0.9716957770438155,0.9625668449197861
5,KNN,0.9628656896868293,0.9244850062861844,0.9412350263514812,0.9540861531146262,0.9062502450510245,0.9262368222790865,0.9386674395563923,0.9575692684773438,0.9587423292900055,0.9421064868635202
6,LDA,0.9911734666417745,0.9850275288483411,0.9880371816959682,0.9716730841440725,0.9557452987776255,0.963235290779462,0.9708924023383805,0.9855159697289418,0.9748594654673673,0.9720995117414555
7,mNB,0.9126609910853464,0.93854759266404,0.9240491567108123,0.9092880393381995,0.933153434489986,0.9197099947374264,0.9323893963679369,0.9803707989948741,0.9586004036418553,0.9342013485235992
8,ABC,0.9697765577439856,0.9589544265550317,0.9641581553874906,0.962350808261252,0.9473038006159173,0.9543371138267913,0.9618713787004042,0.9826122251300142,0.9709207826797783,0.9600093001627529
9,GBC,0.9755951322107078,0.9649824924038612,0.970094604202575,0.9661922793337222,0.952573679362601,0.9590124785397399,0.9666617388462675,0.9823292109424466,0.974110758729328,0.9690769588467798
10,ETC,0.9975923036897522,0.995356290040366,0.9964655576933575,0.9645418566375045,0.9532202042614527,0.9585329665762274,0.9661497642426977,0.9777432226769854,0.9726791602227284,0.9679144385026738
11,BC,0.9929240277653744,0.988518495711216,0.9906880201308942,0.9672536375546429,0.9556629514662592,0.9611336567700269,0.9669405497372695,0.9740422412931423,0.9701100150174478,0.9690769588467798
