,classifier,tr_precision1,tr_recall1,tr_f1 1,classifier,tr_precision2,tr_recall2,tr_f1 2,classifier,tr_precision3,tr_recall3,tr_f1 3,classifier,tr_precision4,tr_recall4,tr_f1 4,classifier,tr_precision5,tr_recall5,tr_f1 5,classifier,tr_precision6,tr_recall6,tr_f1 6
0,LogR,0.9741133372995611,0.9627541619229204,0.9682155322525667,LogR,0.9701009436032477,0.9570990067471694,0.963311923972368,LogR,0.9752222423537525,0.9644395989549279,0.9696342305037957,LogR,0.9729180201782386,0.9598623630494444,0.9661014855307453,LogR,0.9736336315073126,0.9585015683316204,0.965682341720566,LogR,0.9707230333549011,0.9585956348260759,0.9644082955645481
1,gNB,0.8781419774769352,0.6160808044784013,0.6217814941001666,gNB,0.8806364891756935,0.6381070280601164,0.6530874615662956,gNB,0.8777163253405899,0.6221008141920208,0.6304788379098875,gNB,0.882317154376067,0.6443005987344438,0.6614611462248025,gNB,0.8851499519652479,0.6685435745622971,0.6931451237429935,gNB,0.8707712640738785,0.618106663479334,0.6248354576428929
2,SVM,0.9782104528297422,0.9773713777972861,0.9777897079283668,SVM,0.9759357384788447,0.9720107540156098,0.9739468614836623,SVM,0.9798610888325687,0.9784586215208533,0.979156495132775,SVM,0.976566524394731,0.9734903023146267,0.9750121652758379,SVM,0.9776007013084187,0.9759245769008,0.9767578125,SVM,0.978109741036992,0.9789440006455872,0.9785256698849083
3,DT,0.9983397807188334,0.9968805581846197,0.9976067204906529,DT,0.9973661294674614,0.9944439110111305,0.9958912008951313,DT,0.997459896981951,0.9957140773613796,0.99658203125,DT,0.9972645376403291,0.995227222444145,0.9962391321995974,DT,0.9978582554517135,0.9946445959104186,0.9962347098360852,DT,0.997265221878225,0.9952273753305018,0.996239551488679
4,RF,0.9932744889771193,0.9862557096415785,0.9896852623581147,RF,0.9926553789457396,0.9888851548556911,0.990747015379855,RF,0.9942417184265011,0.9887025668697228,0.991422270791061,RF,0.9932472471299172,0.99035467485441,0.9917872381380128,RF,0.9945250829070393,0.9904544448882899,0.9924627573338228,RF,0.9939421320772854,0.9889941859092997,0.991428301724927
5,KNN,0.9653999006458023,0.9283545715997055,0.9446217407686063,KNN,0.9598163718470099,0.9213338271401725,0.938109756097561,KNN,0.9641014445747361,0.9250123474936968,0.9420414947705176,KNN,0.9646580620447816,0.9277379353467332,0.9439485603876976,KNN,0.9622565778448131,0.9201437983213501,0.9382814889758013,KNN,0.9609617811638336,0.9243275578154488,0.9404071171087023
6,LDA,0.9923654244306419,0.9871313023240927,0.9897036702508466,LDA,0.9899200941754134,0.982062542769921,0.9858905428209985,LDA,0.9914811939268462,0.985972980599298,0.9886773974442005,LDA,0.9905050443400523,0.9835387060131247,0.9869424571482261,LDA,0.9910903084210023,0.9849992707648287,0.9879840470599279,LDA,0.9916787345566916,0.9864603706187816,0.9890249754516101
7,mNB,0.9153828135889879,0.940554191490367,0.9265238456185144,mNB,0.9127713421364121,0.9367519550330957,0.9234445159435573,mNB,0.9145114501089635,0.9418285486239923,0.9264425161432057,mNB,0.9108798732116704,0.9371515426846289,0.9224037659380504,mNB,0.9127568688804121,0.9381292509364865,0.9239557195571957,mNB,0.9096635985856321,0.9368700672156696,0.9215245770643498
8,ABC,0.9703614635557083,0.9616777697000733,0.9658899218974037,ABC,0.9679942944919904,0.9550506228214964,0.9612352404236343,ABC,0.9747205765995784,0.9622008660191261,0.9681962425175403,ABC,0.9705152920681966,0.958106486613489,0.9640479263241759,ABC,0.967541608950868,0.9569332367112597,0.9620427881297446,ABC,0.9675261107975726,0.9597575774647458,0.9635368130324444
9,GBC,0.9763136375318333,0.9660690689454938,0.9710144927536232,GBC,0.9757186745666009,0.9625613638822972,0.9688497467689917,GBC,0.9778162292658279,0.966682330308118,0.9720412450960894,GBC,0.9754427565650179,0.9669696451575929,0.9710841596026532,GBC,0.9760195469443651,0.9643438273384364,0.9699520526856712,GBC,0.9722599483906016,0.9632687187912294,0.967625928308421
10,ETC,0.9983397807188334,0.9968805581846197,0.9976067204906529,ETC,0.9973661294674614,0.9944439110111305,0.9958912008951313,ETC,0.997459896981951,0.9957140773613796,0.99658203125,ETC,0.9972645376403291,0.995227222444145,0.9962391321995974,ETC,0.9978582554517135,0.9946445959104186,0.9962347098360852,ETC,0.997265221878225,0.9952273753305018,0.996239551488679
11,BC,0.9935513493246151,0.9880095621731768,0.9907305505890873,BC,0.9931475482391704,0.9890806200628841,0.9910870841917792,BC,0.9944357096808336,0.9891894217869575,0.9917678206928444,BC,0.9932512482017433,0.9883114835689797,0.9907415407056762,BC,0.9910847815427832,0.9870424620502589,0.9890367379401059,BC,0.9920735296031006,0.989477424625038,0.9907643866658715
