,classifier,ten_f_CV1,classifier,ten_f_CV2,classifier,ten_f_CV3,classifier,ten_f_CV4,classifier,ten_f_CV5,classifier,ten_f_CV6
0,LogR,0.9698658595415571,LogR,0.9670748976828871,LogR,0.9704284091439599,LogR,0.9690270926378363,LogR,0.9679113303558925,LogR,0.9676498965157716
1,gNB,0.7717698137283888,gNB,0.7767829632280854,gNB,0.773714227914287,gNB,0.7818038934968332,gNB,0.7977116758220382,gNB,0.7729353729322606
2,SVM,0.9737749179128865,SVM,0.972097384105445,SVM,0.9754485613358025,SVM,0.9723767137143836,SVM,0.9737671371438354,SVM,0.9746237998163739
3,DT,0.9667971242277588,DT,0.9620516331834239,DT,0.9651281492662734,DT,0.9645593750486299,DT,0.9620570797217596,DT,0.962070307029147
4,RF,0.9609428735936261,RF,0.9598216647733462,RF,0.9640139431381398,RF,0.9645640435100606,RF,0.9564759340813247,RF,0.9567684909976503
5,KNN,0.9419780271081993,KNN,0.938332736807706,KNN,0.9405673736792144,KNN,0.9386151787242649,KNN,0.9352710041860538,KNN,0.9372403168329158
6,LDA,0.9701451891504957,LDA,0.9695888641633339,LDA,0.9734932540732327,LDA,0.9704252968363394,LDA,0.9712632856631549,LDA,0.9704385241437263
7,mNB,0.9335919142248018,mNB,0.9316490561927141,mNB,0.934439239974479,mNB,0.9316264919624656,mNB,0.9321983784877297,mNB,0.9308312973654316
8,ABC,0.9620547454910444,ABC,0.9581464651966201,ABC,0.9659638038623738,ABC,0.9617730816513905,ABC,0.9609382051321953,ABC,0.9623519708688006
9,GBC,0.968191438041736,GBC,0.9654028104137813,GBC,0.9684777703428207,GBC,0.9665185726957253,GBC,0.9662400211636919,GBC,0.9651398204198504
10,ETC,0.9665185726957253,ETC,0.9659599134778482,ETC,0.9679198892018489,ETC,0.967074897682887,ETC,0.9645671558176809,ETC,0.9648581565801966
11,BC,0.9687500972596131,BC,0.9645624873562504,BC,0.9687563218748542,BC,0.9687477630288978,BC,0.9642901604394579,BC,0.966536468464543
