
MTB rifampicin All set Results

rifampicin
0    3069
1    1232
dtype: int64

matrix_size: (4301, 212)

,classifier,tr_precision_avg,tr_recall_avg,tr_f1_avg,te_precision_avg,te_recall_avg,te_f1_avg,Tf_CV_Avg,au_ROC_avg,au_PR_avg
0,LogR,0.9727852013828354,0.9602087223053597,0.9662256349240982,0.967736424325382,0.9534694202182482,0.9601002370760395,0.9686595809796508,0.9873531936193553,0.9795382126908078
1,gNB,0.8791221937347354,0.6345399139177689,0.6474649201978397,0.8513412169611003,0.6133696926633375,0.6181017075094981,0.7791196578536489,0.9670451867041842,0.9336104944604972
2,SVM,0.977714041146883,0.976033272199127,0.9768647853675917,0.9720641078068722,0.9646726685435515,0.968172493598357,0.9736814190047879,0.9937206597821185,0.9785003222080504
3,DT,0.9975923036897522,0.995356290040366,0.9964655576933575,0.962314218211112,0.9503067118661374,0.9559582913117622,0.9637772780794988,0.9528747353998016,0.9486233598454041
4,RF,0.9936476747439337,0.9889411228364987,0.9912554742876322,0.9625764584483952,0.9436480313045076,0.9523105534908507,0.9604311583490245,0.9780430830099993,0.9716957770438155
5,KNN,0.9628656896868293,0.9244850062861844,0.9412350263514812,0.9540861531146262,0.9062502450510245,0.9262368222790865,0.9386674395563923,0.9575692684773438,0.9587423292900055
6,LDA,0.9911734666417745,0.9850275288483411,0.9880371816959682,0.9716730841440725,0.9557452987776255,0.963235290779462,0.9708924023383805,0.9855159697289418,0.9748594654673673
7,mNB,0.9126609910853464,0.93854759266404,0.9240491567108123,0.9092880393381995,0.933153434489986,0.9197099947374264,0.9323893963679369,0.9803707989948741,0.9586004036418553
8,ABC,0.9697765577439856,0.9589544265550317,0.9641581553874906,0.962350808261252,0.9473038006159173,0.9543371138267913,0.9618713787004042,0.9826122251300142,0.9709207826797783
9,GBC,0.9755951322107078,0.9649824924038612,0.970094604202575,0.9661922793337222,0.952573679362601,0.9590124785397399,0.9666617388462675,0.9823292109424466,0.974110758729328
10,ETC,0.9975923036897522,0.995356290040366,0.9964655576933575,0.9645418566375045,0.9532202042614527,0.9585329665762274,0.9661497642426977,0.9777432226769854,0.9726791602227284
11,BC,0.9929240277653744,0.988518495711216,0.9906880201308942,0.9672536375546429,0.9556629514662592,0.9611336567700269,0.9669405497372695,0.9740422412931423,0.9701100150174478

Predicted Labels All Set
,Isolate,prediction by LogR,prediction by gNB,prediction by SVM,prediction by DT,prediction by RF,prediction by KNN,prediction by LDA,prediction by mNB,prediction by ABC,prediction by GBC,prediction by ETC,prediction by BC
0,SAMEA1018845,0,0,0,0,0,0,0,0,0,0,0,0
1,SAMEA1018848,1,0,1,1,1,0,1,1,0,1,1,1
2,SAMEA1018878,0,0,0,0,0,0,0,0,0,0,0,0
3,SAMEA1018881,0,0,0,0,0,0,0,0,0,0,0,0
4,SAMEA1018948,0,0,0,0,0,0,0,0,0,0,0,0
5,SAMEA1018950,0,0,0,0,0,0,0,0,0,0,0,0
6,SAMEA1018969,0,0,0,0,0,0,0,0,0,0,0,0
7,SAMEA1018989,0,0,0,0,0,0,0,0,0,0,0,0
8,SAMEA1018990,0,0,0,0,0,0,0,0,0,0,0,0
9,SAMEA1018991,0,0,0,0,0,0,0,0,0,0,0,0
10,SAMEA1018994,0,0,0,0,0,0,0,0,0,0,0,0
11,SAMEA1019001,0,0,0,0,0,0,0,0,0,0,0,0
12,SAMEA1019034,0,0,0,0,0,0,0,0,0,0,0,0
13,SAMEA1019064,0,0,0,0,0,0,0,0,0,0,0,0
14,SAMEA1019066,0,0,0,0,0,0,0,0,0,0,0,0
15,SAMEA1019143,0,0,0,0,0,0,0,0,0,0,0,0
16,SAMEA1019145,0,0,0,0,0,0,0,0,0,0,0,0
17,SAMEA1019146,0,0,0,0,0,0,0,0,0,0,0,0
18,SAMEA1019192,1,0,1,1,1,0,1,1,0,1,1,1
19,SAMEA1019196,0,0,0,0,0,0,0,0,0,0,0,0
20,SAMEA1019197,0,0,0,0,0,0,0,0,0,0,0,0
21,SAMEA1019215,0,0,0,0,0,0,0,0,0,0,0,0
22,SAMEA1019224,0,0,0,0,0,0,0,0,0,0,0,0
23,SAMEA1019259,0,0,0,0,0,0,0,0,0,0,0,0
24,SAMEA1019308,0,0,0,0,0,0,0,0,0,0,0,0
25,SAMEA1019318,0,0,0,0,0,0,0,0,0,0,0,0
26,SAMEA2296967,0,0,0,0,0,0,0,0,0,0,0,0
27,SAMEA2297026,0,0,0,0,0,0,0,0,0,0,0,0
28,SAMEA2297043,0,0,0,0,0,0,0,0,0,0,0,0
29,SAMEA2297044,0,0,0,0,0,0,0,0,0,0,0,0
30,SAMEA2297060,0,0,0,0,0,0,0,0,0,0,0,0
31,SAMEA2297082,0,0,0,0,0,0,0,0,0,0,0,0
32,SAMEA2297098,0,0,0,0,0,0,0,0,0,0,0,0
33,SAMEA2297112,0,0,0,0,0,0,0,0,0,0,0,0
34,SAMEA2297121,0,0,0,0,0,0,0,0,0,0,0,0
35,SAMEA2297155,0,0,0,0,1,0,0,1,0,0,0,0
36,SAMEA2297157,0,0,0,0,0,0,0,0,0,0,0,0
37,SAMEA2297172,0,0,0,0,0,0,0,0,0,0,0,0
38,SAMEA2297182,0,0,0,0,0,0,0,0,0,0,0,0
39,SAMEA2517445,0,1,0,0,0,0,0,0,0,0,0,0
40,SAMEA2533362,0,0,0,0,0,0,0,0,0,0,0,0
41,SAMEA2533365,0,0,0,0,0,0,0,0,0,0,0,0
42,SAMEA2533374,0,0,0,0,0,0,0,0,0,0,0,0
43,SAMEA2533397,0,0,0,0,0,0,0,0,0,0,0,0
44,SAMEA2533409,1,0,1,1,1,1,1,1,1,1,1,1
45,SAMEA2533417,0,0,0,0,0,0,0,0,0,0,0,0
46,SAMEA2533438,0,0,0,0,0,0,0,0,0,0,0,0
47,SAMEA2533451,0,0,0,0,0,0,0,0,0,0,0,0
48,SAMEA2533457,0,0,0,0,0,0,0,0,0,0,0,0
49,SAMEA2533469,0,0,0,0,0,0,0,0,0,0,0,0
50,SAMEA2533471,0,0,0,0,0,0,0,0,0,0,0,0
51,SAMEA2533484,1,1,1,1,1,1,1,1,1,1,1,1
52,SAMEA2533522,0,0,0,0,0,0,0,0,0,0,0,0
53,SAMEA2533579,0,0,0,0,0,0,0,0,0,0,0,0
54,SAMEA2533581,0,0,0,0,0,0,0,0,0,0,0,0
55,SAMEA2533629,0,0,0,0,0,0,0,0,0,0,0,0
56,SAMEA2533633,0,0,0,0,0,0,0,0,0,0,0,0
57,SAMEA2533662,0,0,0,0,0,0,0,0,0,0,0,0
58,SAMEA2533710,0,0,0,0,0,0,0,0,0,0,0,0
59,SAMEA2533778,0,0,0,0,0,0,0,0,0,0,0,0
60,SAMEA2533793,0,0,0,0,0,0,0,1,0,0,0,0
61,SAMEA2533806,1,0,1,1,1,1,1,1,1,1,1,1
62,SAMEA2533843,1,0,1,1,0,1,1,1,1,1,1,1
63,SAMEA2533858,0,0,0,0,0,0,0,0,0,0,0,0
64,SAMEA2533883,0,0,0,0,0,0,0,0,0,0,0,0
65,SAMEA2533924,0,0,0,0,0,0,0,0,0,0,0,0
66,SAMEA2533966,0,0,0,0,0,0,0,0,0,0,0,0
67,SAMEA2533975,0,0,0,0,0,0,0,0,0,0,0,0
68,SAMEA2533979,0,0,0,0,0,0,0,0,0,0,0,0
69,SAMEA2533999,0,0,0,0,0,0,0,0,0,0,0,0
70,SAMEA2534001,0,0,0,0,0,0,0,0,0,0,0,0
71,SAMEA2534047,0,0,0,0,0,0,0,0,0,0,0,0
72,SAMEA2534052,1,0,1,1,1,0,1,1,1,1,1,1
73,SAMEA2534056,1,0,1,1,1,1,1,1,1,1,1,1
74,SAMEA2534089,0,1,0,1,0,0,0,0,0,0,0,0
75,SAMEA2534123,0,0,0,0,0,0,0,0,0,0,0,0
76,SAMEA2534142,0,0,0,0,0,0,0,0,0,0,0,0
77,SAMEA2534153,0,0,0,0,0,0,0,0,0,0,0,0
78,SAMEA2534198,0,0,0,0,0,0,0,0,0,0,0,0
79,SAMEA2534207,1,0,1,1,1,1,1,1,1,1,1,1
80,SAMEA2534209,0,0,0,0,0,0,0,0,0,0,0,0
81,SAMEA2534213,0,0,0,0,0,0,0,0,0,0,0,0
