classifier,te_f1_avg,te_f1_avg,te_f1_avg
LogR,0.9601002370760396,0.9482630261699756,0.5955956556090285
gNB,0.6181017075094981,0.9392268979917532,0.5637658154588308
SVM,0.968172493598357,0.952880608001684,0.6016240988502892
DT,0.9559582913117622,0.9463508455645344,0.5970845526250981
RF,0.9523105534908508,0.9495460424478448,0.5993677815149305
KNN,0.9262368222790864,0.9331503089530456,0.5686997181779614
LDA,0.963235290779462,0.9343859801049442,0.599196789240945
mNB,0.9197099947374264,0.9360515184216665,0.5495879744928004
ABC,0.9543371138267912,0.9488232698057768,0.5954504236449407
GBC,0.95901247853974,0.954476287447606,0.597310606266465
ETC,0.9585329665762274,0.9488346124032634,0.5972106270673248
BC,0.9611336567700268,0.9495734601456036,0.5973948001554229
