,classifier,tr_precision1,tr_recall1,tr_f1 1,classifier,tr_precision2,tr_recall2,tr_f1 2,classifier,tr_precision3,tr_recall3,tr_f1 3,classifier,tr_precision4,tr_recall4,tr_f1 4,classifier,tr_precision5,tr_recall5,tr_f1 5,classifier,tr_precision6,tr_recall6,tr_f1 6
0,LogR,0.9611026422764227,0.9425728555599755,0.9512449749559149,LogR,0.9587654210620419,0.9379914254405016,0.9476320449803328,LogR,0.9620365163273723,0.9458313452313541,0.953478496048555,LogR,0.9584704633577555,0.9383329798224627,0.9476974218020029,LogR,0.9622404042719856,0.9422318175777282,0.9515480426440559,LogR,0.9583770750667748,0.9391142057336967,0.948100143554965
1,gNB,0.9390617433711981,0.9418607220858157,0.940445980982024,gNB,0.9354092296436338,0.9371802257794604,0.9362885692201413,gNB,0.9422440929950316,0.9440394830389038,0.9431355788646022,gNB,0.9354730866839389,0.9379936855469397,0.9367208573303201,gNB,0.9406215093645998,0.9390751622500656,0.9398437500000001,gNB,0.9359500305070061,0.9389748868128932,0.9374444279224464
2,SVM,0.9649721439087051,0.9603068460831516,0.9626011006490258,SVM,0.9636987182721413,0.9517330486323532,0.9574668401960512,SVM,0.9655073151958685,0.9569292382938714,0.9610896459424106,SVM,0.9636315207702737,0.9553689035082875,0.9593801289656316,SVM,0.9645413685333399,0.9537167955236003,0.9589247921782054,SVM,0.9621866537717602,0.9547858713865582,0.9583893732491973
3,DT,0.9741149553286972,0.9607084451638174,0.9671091494583317,DT,0.9741733881737087,0.9566170116456113,0.9648811771961658,DT,0.9733188150891179,0.9608360728839138,0.9668134704530854,DT,0.9724170346795744,0.9596668213990729,0.965765993328529,DT,0.9721353694223807,0.9558717520950755,0.9635577907569146,DT,0.9713188922401974,0.9580128554059928,0.9643649898220841
4,RF,0.9719237235798017,0.96148497165945,0.966518528078033,RF,0.9704124780518864,0.9588528592787677,0.9644044241064296,RF,0.9725217713110569,0.9609318445004054,0.9664982656380472,RF,0.9699630213714721,0.9607323044326455,0.9652008294104828,RF,0.9695201004681613,0.957715403312746,0.9633787654214356,RF,0.9696173458010615,0.9569396048671788,0.9630036276399682
5,KNN,0.9561539595335408,0.9398390098258416,0.9475280389576076,KNN,0.9509859279680252,0.934572117897907,0.942297784647089,KNN,0.9557261035801181,0.9368684166533703,0.9456729720937336,KNN,0.9538959302005396,0.9393944644386469,0.9462703329968458,KNN,0.9556299940934347,0.9315170109811775,0.9425641025641026,KNN,0.9570564700009121,0.9349279766857779,0.9451424812075876
6,LDA,0.9607598345357866,0.9237704743136619,0.9399871690392385,LDA,0.9590768510708507,0.9155849401106797,0.9342034686214911,LDA,0.9600041897100721,0.9180966086185316,0.9361409625818985,LDA,0.9594421785862459,0.9204311131708249,0.9373983739837398,LDA,0.9604005778098783,0.916540272250336,0.935297922454734,LDA,0.9572090128661392,0.9133253599262448,0.9320647837562674
7,mNB,0.9431126380118866,0.9322238682450197,0.9374485510996482,mNB,0.9403482516190742,0.9287134960152532,0.9342783903147103,mNB,0.9438014693419523,0.9337317534126492,0.9385783298826778,mNB,0.9375738965723723,0.926033847935998,0.9315527828094887,mNB,0.94344367805829,0.9312017072099843,0.9370456159856697,mNB,0.9401648027929548,0.9282821596412119,0.9339597465348963
8,ABC,0.9624570355692499,0.9406262049877538,0.9507278298195965,ABC,0.9581816516150186,0.934483720377305,0.9453658536585365,ABC,0.9650716336578549,0.9470045951335833,0.9554792114298801,ABC,0.9574539423730168,0.9358987052362894,0.9458695046979779,ABC,0.9607511262683677,0.9375588100557533,0.9482329206270388,ABC,0.9570511416797722,0.9369713208575651,0.9463084102333492
9,GBC,0.9667510875939763,0.956997273393718,0.961709280088381,GBC,0.9643656341144524,0.9503701265151412,0.9570294204440546,GBC,0.9648823120391564,0.9554686735421676,0.9600206174463601,GBC,0.9646201291789306,0.9529386273395026,0.9585419985903045,GBC,0.963713258286429,0.9517693758546617,0.9574926617969984,GBC,0.9618924010673898,0.9522556722975365,0.9569105149305246
10,ETC,0.9741149553286972,0.9607084451638174,0.9671091494583317,ETC,0.9741733881737087,0.9566170116456113,0.9648811771961658,ETC,0.9733188150891179,0.9608360728839138,0.9668134704530854,ETC,0.9724170346795744,0.9596668213990729,0.965765993328529,ETC,0.9721353694223807,0.9558717520950755,0.9635577907569146,ETC,0.9713188922401974,0.9580128554059928,0.9643649898220841
11,BC,0.9704902194263896,0.9629442927969738,0.9666190891130939,BC,0.9708031599736668,0.9577818013890604,0.964004151821946,BC,0.9696028717305314,0.9618017858836064,0.9655969863574388,BC,0.969323359567262,0.9620930991504696,0.965617541193716,BC,0.9683244405510871,0.9568374650947682,0.9623537211808985,BC,0.9682932192268494,0.9596616529618974,0.9638483263338136
