,classifier,ten_f_CV1,classifier,ten_f_CV2,classifier,ten_f_CV3,classifier,ten_f_CV4,classifier,ten_f_CV5,classifier,ten_f_CV6
0,LogR,0.9592637836323743,LogR,0.9561950483185757,LogR,0.9609420955167207,LogR,0.9567513733057377,LogR,0.9595438913182178,LogR,0.9578834752026891
1,gNB,0.951449557274241,gNB,0.9481046046591246,gNB,0.9525723222483309,gNB,0.9489433715628453,gNB,0.9497798042358505,gNB,0.9486819377227246
2,SVM,0.9626102924013009,SVM,0.9606580974463517,SVM,0.9626157389396368,SVM,0.9603818801450336,SVM,0.958986788254151,SVM,0.9598395605421641
3,DT,0.9575878059787429,DT,0.9584273509593688,DT,0.9598302236193026,DT,0.956754485613358,DT,0.9550769518059166,DT,0.9550964037285447
4,RF,0.9609343147476697,RF,0.958428129036274,RF,0.9603873266833695,RF,0.9612198689718492,RF,0.9550746175752012,RF,0.9584436905743765
5,KNN,0.9472689500630243,KNN,0.9425250151724998,KNN,0.9453167551080748,KNN,0.9416831359611584,KNN,0.9447580958901977,KNN,0.9453330947230825
6,LDA,0.95173044303699,LDA,0.9469833958388447,LDA,0.9497798042358507,LDA,0.9500529092295482,LDA,0.9475451673643424,LDA,0.9458956443254852
7,mNB,0.9492149204027326,mNB,0.9453151989542645,mNB,0.9495043650114378,mNB,0.944754205505672,mNB,0.9489410373321299,mNB,0.9472852896780319
8,ABC,0.9587035682606869,ABC,0.9553578375686653,ABC,0.9628966247023856,ABC,0.957311588677425,ABC,0.9553570594917602,ABC,0.9545369664337624
9,GBC,0.965401254259971,GBC,0.9612175347411339,GBC,0.9612229812794697,GBC,0.9614968643500724,GBC,0.9595415570875027,GBC,0.9592809013242871
10,ETC,0.9606557632156362,ETC,0.96010177245919,ETC,0.9609444297474363,ETC,0.95731236675433,ETC,0.9581456871197149,ETC,0.9573287063693376
11,BC,0.9609358709014799,BC,0.9578679136645866,BC,0.9612253155101851,BC,0.9578694698183969,BC,0.9564712656198939,BC,0.957606479824466
