,classifier,tr_precision_avg,tr_recall_avg,tr_f1_avg,te_precision_avg,te_recall_avg,te_f1_avg,Tf_CV_Avg,au_ROC_avg,au_PR_avg,Loo_CV
0,LogR,0.9601654203937254,0.9410124382276198,0.9499501873309711,0.9588030749050804,0.9391760733888348,0.9482630261699755,0.9584299445490526,0.9791901613654526,0.9684759126474941,0.9583817716810045
1,gNB,0.938126615427568,0.9398540275856798,0.9389798607199222,0.938466100005364,0.9401122941696897,0.9392268979917531,0.9499219329505196,0.9732541328059701,0.9553650570074805,0.9493141129969774
2,SVM,0.964089620075348,0.9554734505713037,0.9596419801967536,0.9573060377027042,0.948983907337957,0.9528806080016841,0.9608487262881064,0.9707632458440263,0.9626355737891786,0.9632643571262497
3,DT,0.9729130758222794,0.9586188264322472,0.9654154285025184,0.9552358277541813,0.9387726895647509,0.9463508455645343,0.9571288702842056,0.9478708614334828,0.9394981385207245,0.9574517554057196
4,RF,0.9706597400972399,0.9594428313418656,0.9648340733823993,0.9556563895594766,0.9442814766784579,0.9495460424478449,0.9590813245981233,0.9698316064991143,0.9584239405006687,0.9616368286445013
5,KNN,0.9549080642294285,0.9361864994137868,0.9449126187444943,0.9480211389251512,0.9210860649464446,0.9331503089530457,0.9444808411530062,0.9584930357183646,0.9548821409063258,0.9458265519646594
6,LDA,0.9594821074298289,0.9179581280650465,0.9358487800728948,0.9591471973125358,0.9160706784241585,0.9343859801049442,0.9486645606718436,0.9789049279764974,0.968068251691277,0.9481515926528714
7,mNB,0.9414074560660883,0.9300311387433527,0.9354772361045152,0.9419779232797478,0.9308072864292573,0.9360515184216665,0.9475025028140447,0.9508439849629777,0.9396376191832672,0.9474540804464078
8,ABC,0.9601610885272134,0.9387572261080416,0.9486639550777299,0.9596370365820274,0.9395002579285351,0.9488232698057767,0.9573606075224476,0.9781548409395627,0.9685079351528216,0.9574517554057196
9,GBC,0.9643708037133892,0.9532999581571212,0.9586174155494372,0.9601008739141544,0.9494762299160556,0.9544762874476059,0.9613601821737393,0.979709235460208,0.970937418913536,0.9627993489886073
10,ETC,0.9729130758222794,0.9586188264322472,0.9654154285025184,0.9564017812198223,0.9422628642848735,0.9488346124032634,0.9590814542776075,0.9604438701663249,0.9496608344215623,0.9597767960939316
11,BC,0.9694728784126309,0.9601866828794626,0.9646733026668178,0.9552555965816376,0.9447650173337977,0.9495734601456037,0.958662719223168,0.967687147378741,0.9583078209166785,0.960241804231574
