,classifier,tr_precision_avg,tr_recall_avg,tr_f1_avg,te_precision_avg,te_recall_avg,te_f1_avg,Tf_CV_Avg,Loo_CV_Avg,au_ROC_avg,au_PR_avg
0,LogR,0.8300211454426261,0.56216560499397,0.5986918724651017,0.8106224844645327,0.6090009976715829,0.5955956556090285,0.7650288796211283,0.7528650842298831,0.6550348353192914,0.658972400736453
1,gNB,0.8409745606091116,0.5656691065311085,0.5691087126798728,0.803621057563886,0.5845802015933063,0.5637658154588308,0.7594629713200853,0.753769736424933,0.6539730957304961,0.6471206110290181
2,SVM,0.8312882239063691,0.5657021439769975,0.6036666037452459,0.8231497366309067,0.6129761829700415,0.6016240988502892,0.7670424259400466,0.7638350489315379,0.6301206309051068,0.6321232801088578
3,DT,0.8318610146004936,0.5650223211942099,0.603502226718204,0.8055795896081218,0.6101109965155274,0.5970845526250981,0.7658377164998988,0.762778212255078,0.6551401946430349,0.658033668487859
4,RF,0.8294033594890532,0.5657014775740994,0.605193042803267,0.8032666822349466,0.6126459713125221,0.5993677815149305,0.765903074959929,0.7606180380883937,0.6553068205167385,0.6577074977675897
5,KNN,0.802989400754673,0.5629762198867483,0.5717120533846605,0.7807253254881401,0.5986077767613784,0.5686997181779614,0.7264612284278178,0.746714294772886,0.6183441441458304,0.654585391076223
6,LDA,0.8291724469086692,0.5656203223473638,0.6051145711643954,0.8035406498006104,0.6124193315755164,0.599196789240945,0.7657030443555708,0.762334340850965,0.6550055305067198,0.6565812242394571
7,mNB,0.779852414751111,0.5666234197132788,0.5517318601387415,0.7589003694061254,0.5758526469216068,0.5495879744928004,0.7524126868032971,0.751199509627782,0.61711351816343,0.6275230132601091
8,ABC,0.8328808446005708,0.5647289532478915,0.6012755836296366,0.8091802362194324,0.6079717075840966,0.5954504236449407,0.7656006883387022,0.7625795269599036,0.6551444905225046,0.6581327454263061
9,GBC,0.8317770224483034,0.5651195174432712,0.603535606691312,0.805568054492249,0.6102814672812904,0.597310606266465,0.765879628909188,0.7627655302149604,0.6552004888148413,0.6573837209170547
10,ETC,0.8318610146004936,0.5650223211942099,0.603502226718204,0.8052742567555681,0.6102000009875653,0.5972106270673248,0.7658794992297038,0.762748620828137,0.6552793060066768,0.6579890416818606
11,BC,0.8311369660499848,0.5653616784418065,0.6035029956324678,0.804608907937741,0.6104067186042336,0.5973948001554229,0.7658656494607927,0.7619876984210858,0.6551746258219739,0.6576147262795675
