,classifier,ten_f_CV1,classifier,ten_f_CV2,classifier,ten_f_CV3,classifier,ten_f_CV4,classifier,ten_f_CV5,classifier,ten_f_CV6
0,LogR,0.7449814039619677,LogR,0.7452552870325704,LogR,0.7452583993401908,LogR,0.7463694931607041,LogR,0.7463741616221348,LogR,0.7458800827873826
1,gNB,0.746375717775945,gNB,0.7441418589813418,gNB,0.7458162804811628,gNB,0.7463694931607041,gNB,0.7472113723720452,gNB,0.7456015312553493
2,SVM,0.7472121504489504,SVM,0.7446989620454085,SVM,0.7474914800578889,SVM,0.7466480446927375,SVM,0.7474907019809838,SVM,0.7467172935372932
3,DT,0.7435839778403697,DT,0.743303092077621,DT,0.7449798478081575,DT,0.7452537308787601,DT,0.746375717775945,DT,0.7444857689734053
4,RF,0.7452583993401908,RF,0.743303092077621,RF,0.7452591774170959,RF,0.7460924977824809,RF,0.7463749396990399,RF,0.7450444281912825
5,KNN,0.7449821820388728,KNN,0.704753271813386,KNN,0.7460948320131963,KNN,0.7293755154759497,KNN,0.746375717775945,KNN,0.7447650985823439
6,LDA,0.7458178366349729,LDA,0.7444204105133752,LDA,0.7452583993401908,LDA,0.7463694931607041,LDA,0.7466534912310732,LDA,0.7456015312553493
7,mNB,0.748050139275766,mNB,0.7460956100901013,mNB,0.7483286908077995,mNB,0.7480446927374302,mNB,0.7488826815642459,mNB,0.7483886027294938
8,ABC,0.7458178366349729,ABC,0.7455346166415089,ABC,0.7460940539362911,ABC,0.7463694931607041,ABC,0.7477676973592071,ABC,0.7456015312553493
9,GBC,0.7444227447440905,GBC,0.743303092077621,GBC,0.7455377289491294,GBC,0.7452537308787601,GBC,0.7466550473848834,GBC,0.7447650985823439
10,ETC,0.7435839778403697,ETC,0.743303092077621,ETC,0.7449798478081575,ETC,0.7452537308787601,ETC,0.746375717775945,ETC,0.7444857689734053
11,BC,0.7444219666671854,BC,0.743303092077621,BC,0.7449798478081575,BC,0.7455330604876986,BC,0.746375717775945,BC,0.7447650985823439
